Date,01Y,18M,02Y,03Y,04Y,05Y,06Y,07Y,08Y,09Y,10Y,12Y,15Y,20Y,25Y,30Y,40Y,50Y
2015-01-21 17:00:00-05:00,0.023714883198523662,0.03648286584133649,0.04289258452225995,0.0875662297246809,0.154917241800814,0.23720909861927236,0.34581284034762205,0.4222090343783873,0.5321163634623259,0.6175448415490283,0.6857656098985212,0.825388806483298,0.9791042784343966,1.1354755319896377,1.221992800036252,1.2725065540601206,1.3132299634243905,1.3003440949882645
2015-01-22 17:00:00-05:00,0.012816616362258079,0.02341879456720486,0.028770485194305917,0.07092231296981379,0.13646747523454172,0.21675998168704924,0.3219395403526362,0.3969389120371015,0.504724300559021,0.5881257104598284,0.6548992123187647,0.7925706469981433,0.946955335257097,1.1059548825624848,1.1946018971869774,1.2439593247218927,1.2849667740801665,1.275585192624495
2015-01-23 17:00:00-05:00,0.01622330801685095,0.023087530855953997,0.026552478160133442,0.06081516485537062,0.11686436044244461,0.18818165510604778,0.28490071022741015,0.3536628892053402,0.45608448639273874,0.5357383830630686,0.598673306850055,0.7341673654515394,0.8876441310668078,1.0435539426445395,1.1339402793550608,1.188888727440597,1.2405808344136813,1.2320773867150214
2015-01-26 17:00:00-05:00,0.03092994964914885,0.040055981876726855,0.044699972903480094,0.08259105687979207,0.1435322097050064,0.2204252598859721,0.3222814355309801,0.3945638991825426,0.49976808865582034,0.5804922585538954,0.6450164284022557,0.7813212839046395,0.9340279007016637,1.0877421104590577,1.173958212363646,1.2282989934156463,1.2777417862799565,1.2676461006380269
2015-01-27 17:00:00-05:00,0.023990518697294346,0.03156370752066816,0.03540204379626907,0.07038692358992399,0.12851037618918346,0.2028695352476609,0.3025949510999209,0.37370171559208,0.47711501924879685,0.5572103920844976,0.6213866752128546,0.7586510011541007,0.9154503832846255,1.0752560946094016,1.1614881934430574,1.2178406928355743,1.2657673895108263,1.2528324438266525
2015-01-28 17:00:00-05:00,0.020813128728186196,0.028367441059345504,0.032190943654055955,0.065598470192791,0.12061493974762219,0.19120443355132155,0.2868856960643605,0.355331581040516,0.45612804591894035,0.5343896886522471,0.5969091963243203,0.7305874512916166,0.8833669918785857,1.0381083236775361,1.1187150530397059,1.1660660303295278,1.2085662555995442,1.1871592759134002
2015-01-29 17:00:00-05:00,0.03241667080136161,0.04204668292771074,0.04690768328593185,0.08248816862606453,0.13913198205395536,0.21036438848322422,0.3058433128125614,0.3739496038286637,0.4746447645112963,0.5525843829678989,0.6150009486617426,0.7494915598514887,0.9047041694394206,1.0602287798805299,1.1409873246762177,1.1878995740408094,1.2295037393851553,1.1999978111766518
2015-01-30 17:00:00-05:00,0.044770999168019604,0.056712869405156394,0.06274076559671993,0.09921740719871366,0.15246970246259822,0.21791286428655027,0.3050586998292357,0.3670353642848492,0.4599119677144617,0.5321779311557387,0.5892978465141416,0.717188693364699,0.8674711551156347,1.0194709376786524,1.0980018419437907,1.1438258280917517,1.1800271040045833,1.1473257311123906
2015-02-02 17:00:00-05:00,0.04065903535713494,0.050750698175231326,0.055886051356448724,0.0908113887005736,0.1442681864165676,0.2108971198066064,0.29970810349606114,0.36276208867648263,0.4563675588770716,0.5282328538986828,0.5857023030720775,0.7096223736000017,0.8518566988792893,0.9970886721579132,1.0715310790533055,1.1129480990980731,1.1445453111079529,1.1094876235243805
2015-02-03 17:00:00-05:00,0.03247623295360384,0.04132468150969804,0.045809331635485714,0.079680357837467,0.13402008420255956,0.20345043743117908,0.2970520146406727,0.3638067113325934,0.4606373145101622,0.5356596614001479,0.5957876133454946,0.7235708546426409,0.8690039919466341,1.015174830275795,1.0899364416262292,1.1296162310825664,1.1622382636654016,1.1254265084234236
